Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","47uF","CP_EIA-6032-28_Kemet-C",36.5760,8.3820,0.0000,bottom
"C2","220pF","C_0805_2012Metric",22.5025,13.4620,180.0000,bottom
"C3","10uF","CP_EIA-3216-18_Kemet-A",32.5120,19.0500,180.0000,bottom
"C4","10uF","C_0805_2012Metric",37.8460,11.4300,0.0000,bottom
"C5","10uF","CP_EIA-3216-18_Kemet-A",25.9080,7.3660,180.0000,bottom
"C6","10uF","CP_EIA-3216-18_Kemet-A",14.9860,31.4960,180.0000,bottom
"C7","10uF","CP_EIA-3216-18_Kemet-A",29.0195,30.9880,0.0000,bottom
"C8","2n2","C_0805_2012Metric",11.4300,22.0980,90.0000,bottom
"C9","100nF","C_0805_2012Metric",18.7960,24.8920,180.0000,bottom
"C10","100nF","C_0805_2012Metric",6.8580,26.6700,180.0000,bottom
"C11","10uF","CP_EIA-3216-18_Kemet-A",18.0340,17.0180,180.0000,bottom
"C12","100nF","C_0805_2012Metric",29.0195,33.5280,0.0000,bottom
"C13","100nF","C_0805_2012Metric",15.2400,29.4640,180.0000,bottom
"C14","100nF","C_0805_2012Metric",25.9080,9.3980,180.0000,bottom
"C15","100nF","C_0805_2012Metric",18.2880,19.3040,180.0000,bottom
"C16","10uF","CP_EIA-3216-18_Kemet-A",7.3660,11.1760,-90.0000,bottom
"C17","100nF","C_0805_2012Metric",7.3660,15.7480,90.0000,bottom
"C18","100nF","C_0805_2012Metric",34.2900,21.3360,0.0000,bottom
"C19","100pF FILM,PPS","C_0805_2012Metric",25.9715,27.4320,0.0000,bottom
"C20","100nF","C_0805_2012Metric",39.3700,20.8280,90.0000,bottom
"C21","1uF","FIR_0805",38.3540,14.4780,0.0000,bottom
"D1","M4","Diode-SMA_Standard",60.7060,10.4140,-90.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",39.6240,38.8620,180.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",11.1760,2.1590,180.0000,bottom
"L1","L","L_0805_2012Metric",4.5720,23.8760,90.0000,bottom
"M5","RFShield_TwoPieces","Laird_Technologies_BMI-S-204-F_32.00x32.00mm",25.4000,20.8280,0.0000,bottom
"R1","10","R_0805_2012Metric",32.0040,30.9245,90.0000,bottom
"R2","50","R_0805_2012Metric",22.3520,22.0980,0.0000,bottom
"R3","100","R_0805_2012Metric",29.4640,27.8765,-90.0000,bottom
"R4","100","R_0805_2012Metric",25.9080,19.2405,-90.0000,bottom
"R5","100","R_0805_2012Metric",25.1460,11.4300,180.0000,bottom
"R6","100","R_0805_2012Metric",24.1300,-5.5880,180.0000,bottom
"R7","4k7","R_0805_2012Metric",13.4620,22.0980,90.0000,bottom
"R8","1k","R_0805_2012Metric",11.4300,25.6540,90.0000,bottom
"R9","100","R_0805_2012Metric",19.8120,13.9700,-90.0000,bottom
"R10","10","R_0805_2012Metric",11.4300,13.2080,-90.0000,bottom
"R11","100","R_0805_2012Metric",5.3340,21.0820,0.0000,bottom
"R12","1k","R_0805_2012Metric",22.5025,15.4940,180.0000,bottom
"R13","50","R_0805_2012Metric",26.2255,16.0020,180.0000,bottom
"U1","TS3021ILT","SOT-23-5_HandSoldering",16.0020,13.7160,0.0000,bottom
"U2","AD8691","TSOT-23-5_HandSoldering",29.7180,13.9700,90.0000,bottom
"U3","LTC1865-MS","MSOP-10_3x3mm_P0.5mm",35.5600,24.3840,0.0000,bottom
"U4","ISL21080DIH309","SOT-23",13.4620,8.3820,-90.0000,bottom
"U5","TS5A4594","SOT-23-5_HandSoldering",19.5580,-7.1120,0.0000,bottom
"U6","AD8691","TSOT-23-5_HandSoldering",17.5260,22.0980,0.0000,bottom
